Countries and areas;OOSR_Pre0Primary_Age_Male;OOSR_Pre0Primary_Age_Female;OOSR_Primary_Age_Male;OOSR_Primary_Age_Female;OOSR_Lower_Secondary_Age_Male;OOSR_Lower_Secondary_Age_Female;OOSR_Upper_Secondary_Age_Male;OOSR_Upper_Secondary_Age_Female;Completion_Rate_Primary_Male;Completion_Rate_Primary_Female;Completion_Rate_Lower_Secondary_Male;Completion_Rate_Lower_Secondary_Female;Completion_Rate_Upper_Secondary_Male;Completion_Rate_Upper_Secondary_Female;Grade_2_3_Proficiency_Reading;Grade_2_3_Proficiency_Math;Primary_End_Proficiency_Reading;Primary_End_Proficiency_Math;Lower_Secondary_End_Proficiency_Reading;Lower_Secondary_End_Proficiency_Math;Youth_15_24_Literacy_Rate_Male;Youth_15_24_Literacy_Rate_Female;Birth_Rate;Gross_Primary_Education_Enrollment;Gross_Tertiary_Education_Enrollment;Unemployment_Rate
Bosnia and Herzegovina;72;73;0;0;0;0;22;19;99;100;97;97;92;92;0;0;0;0;46;42;0;0;811;0;233;1842
Botswana;79;78;12;10;0;0;0;0;95;98;92;92;55;66;0;0;0;16;0;0;0;0;2482;1032;249;1819
Brazil;0;1;1;1;2;3;16;14;95;97;81;89;65;75;80;71;53;52;50;32;99;99;1392;1154;513;1208
British Virgin Islands;9;2;4;3;8;7;24;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brunei;17;18;0;0;0;0;19;16;0;0;0;0;0;0;0;0;0;0;48;52;100;100;149;1032;314;912
Bulgaria;19;20;13;13;12;13;10;14;0;0;0;0;0;0;0;0;95;75;53;56;0;0;89;893;71;434
Burkina Faso;81;81;21;22;48;44;67;65;32;29;13;6;6;2;36;59;21;22;0;0;62;55;3793;961;65;626
Burundi;52;50;9;6;36;31;67;62;46;54;26;19;4;3;79;97;7;40;0;0;0;0;3901;1214;61;143
Cape Verde;19;19;6;7;14;13;29;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1949;104;236;1225
Cambodia;48;44;9;9;12;14;0;0;68;79;41;39;20;20;0;0;50;0;8;10;0;0;2246;1074;137;68
Cameroon;56;57;4;13;33;40;50;58;75;74;52;43;26;21;30;57;24;12;0;0;88;82;3539;1034;128;338
Canada;0;0;0;0;0;0;6;6;0;0;0;0;0;0;96;69;0;0;86;84;0;0;101;1009;689;556
Central African Republic;0;0;0;0;0;0;0;0;54;33;16;8;8;6;0;0;0;0;0;0;48;29;3535;102;3;368
Chad;85;87;17;35;55;70;71;85;31;24;18;10;15;6;18;48;3;3;0;0;0;0;4217;868;33;189
Chile;8;8;1;2;5;6;5;5;96;97;94;97;83;88;94;90;70;75;68;28;0;0;1243;1014;885;709
China;0;0;0;0;0;0;0;0;97;97;93;93;63;67;82;85;0;0;80;79;100;100;109;1002;506;432
Colombia;3;1;3;2;6;5;22;20;91;95;74;81;69;78;79;64;55;48;50;35;99;99;1488;1145;553;971
Comoros;71;70;18;18;20;18;52;48;75;77;47;45;24;32;0;0;0;0;0;0;78;78;3188;995;9;434
Republic of the Congo;71;70;15;16;0;0;0;0;78;82;56;45;28;19;38;72;17;6;0;0;85;79;3286;1066;127;947
Cook Islands;3;0;2;2;4;6;30;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Costa Rica;4;4;3;3;3;1;7;5;98;99;70;76;56;60;89;84;68;60;58;40;99;100;1397;1133;552;1185
Ivory Coast;78;78;2;8;41;48;52;64;60;53;36;22;17;15;17;33;22;3;0;0;64;53;3574;998;93;332
Croatia;5;5;0;0;3;1;16;11;0;0;0;0;0;0;0;0;0;67;78;69;0;0;9;965;679;693
Cuba;2;2;1;1;10;10;20;15;100;98;95;98;85;86;0;0;0;0;0;0;0;0;1017;1019;414;164
Cyprus;1;2;0;1;2;2;6;8;0;0;0;0;0;0;0;74;0;0;56;63;0;0;1046;993;759;727
Czech Republic;10;10;1;0;1;2;3;3;0;0;0;0;0;0;97;78;0;0;79;80;0;0;107;1007;641;193
North Korea;0;0;0;0;0;0;0;0;100;100;100;100;100;100;94;0;0;0;0;0;0;0;1389;1128;27;274
